,country,n,events,logHR,HR,SE,lower_CI,upper_CI,p_value
0,Cuba,1955,437,0.4767999196508313,1.6109111001525775,0.040536588084229795,1.4878761002002,1.7441200730663093,6.111235237612313e-32
1,Dominican R.,1503,342,0.37451166494881466,1.4542810647697508,0.048594551633500106,1.3221617598646835,1.5996026201546572,1.2894574923272065e-14
2,Peru,1530,92,0.5083093395670825,1.6624781316507653,0.08618162925798101,1.404099890415611,1.968402360176048,3.6767305707459823e-09
3,Venezuela,1508,127,0.3993301635010309,1.4908257536106633,0.076467361715924,1.2833282371156998,1.7318729249066034,1.7678104103652797e-07
4,Mexico,1604,111,0.49791551347023916,1.6452881128487846,0.08279583100682457,1.3988334882599567,1.9351645474607455,1.8125184003981071e-09
5,Puerto Rico,1427,196,0.5758666995650248,1.7786714328234912,0.06101368300102736,1.5781954567065848,2.004613593644729,3.7880188390955224e-21
