,country,n,events,logHR,HR,SE,lower_CI,upper_CI,p_value
0,Cuba,1955,437,0.41296424071331844,1.5112909822802236,0.04020917444060088,1.3967606119944416,1.6352125149492776,9.580818339291903e-25
1,Dominican R.,1503,342,0.293235819388682,1.3407589301055516,0.05083584595910687,1.213610003907466,1.4812291451701376,8.008068967135282e-09
2,Peru,1530,92,0.28308928316756504,1.3272236552593524,0.09467917524558561,1.1024351542477817,1.597846933937739,0.0027899144265110232
3,Venezuela,1508,127,0.4156778128033757,1.5153975485215814,0.07322651463244535,1.3127924128474542,1.7492710253285586,1.3739627597524984e-08
4,Mexico,1604,111,0.48109295891897436,1.6178416707245227,0.08113878256393577,1.3799729083475964,1.896712359858462,3.0430244576187986e-09
5,Puerto Rico,1427,196,0.41793730535696727,1.5188254491978495,0.06712516509497238,1.3315909086595803,1.7323869742045437,4.777657773063817e-10
