,country,n,events,logHR,HR,SE,lower_CI,upper_CI,p_value
0,Cuba,1719,320,0.2645070063311243,1.302788550928197,0.05170306594640737,1.1772378144005151,1.441729094723215,3.122711478638036e-07
1,Dominican R.,1318,274,0.2590713834196391,1.2957262949007267,0.05637332474193983,1.1601875780218596,1.4470992993734089,4.314275104531617e-06
2,Peru,1405,68,0.2981202230224134,1.347323757477415,0.1093077858348277,1.087499364438685,1.6692251663062088,0.006384592732860523
3,Venezuela,1414,110,0.3448146111643158,1.4117281767633099,0.08455044546295802,1.1961388967361053,1.6661747649087226,4.538344460581909e-05
4,Mexico,1463,86,0.33437779013299485,1.3970708434680796,0.09741316152253299,1.1542508305105132,1.6909729584559596,0.0005978828571796625
5,Puerto Rico,1262,139,0.33911343661375787,1.4037025674477142,0.08014371306745081,1.1996557557305056,1.6424552530567251,2.3232721565789985e-05
